Row ID,Order ID,Order Date,Ship Mode,Customer ID,Postal Code,Product ID,Category,Sub-Category,Sales
51,CA-2016-115742,2016-04-18,Std Class,DP-13000,47150,FUR-FU-10001706,Furniture,Furnishings,6.16
52,CA-2016-115742,2016-04-18,Std Class,DP-13000,47150,FUR-CH-10003061,Furniture,Chairs,89.99
53,CA-2017-105816,2017-11-12,Std Class,JM-15265,10024,OFF-FA-10000304,Office Supplies,Fasteners,15.26
54,CA-2017-105816,2017-11-12,Std Class,JM-15265,10024,TEC-PH-10002447,Technology,Phones,1029.95
55,CA-2017-111682,2017-06-17,1st Class,TB-21055,12180,OFF-ST-10000604,Office Supplies,Storage,208.56
56,CA-2017-111682,2017-06-17,1st Class,TB-21055,12180,OFF-PA-10001569,Office Supplies,Paper,32.4
57,CA-2017-111682,2017-06-17,1st Class,TB-21055,12180,FUR-CH-10003968,Furniture,Chairs,319.41
58,CA-2017-111682,2017-06-17,1st Class,TB-21055,12180,OFF-PA-10000587,Office Supplies,Paper,14.56
59,CA-2017-111682,2017-06-17,1st Class,TB-21055,12180,TEC-AC-10002167,Technology,Accessories,30.0
60,CA-2017-111682,2017-06-17,1st Class,TB-21055,12180,OFF-BI-10001460,Office Supplies,Binders,48.48
61,CA-2017-111682,2017-06-17,1st Class,TB-21055,12180,OFF-AR-10001868,Office Supplies,Art,1.68
62,CA-2016-135545,2016-11-24,Std Class,KM-16720,90004,TEC-AC-10004633,Technology,Accessories,13.98
63,CA-2016-135545,2016-11-24,Std Class,KM-16720,90004,OFF-BI-10001078,Office Supplies,Binders,25.824
64,CA-2016-135545,2016-11-24,Std Class,KM-16720,90004,OFF-PA-10003892,Office Supplies,Paper,146.73
65,CA-2016-135545,2016-11-24,Std Class,KM-16720,90004,FUR-FU-10000397,Furniture,Furnishings,79.76
66,US-2016-164175,2016-04-30,Std Class,PS-18970,60610,FUR-CH-10001146,Furniture,Chairs,213.115
67,CA-2015-106376,2015-05-12,Std Class,BS-11590,85234,OFF-AR-10002671,Office Supplies,Art,1113.024
68,CA-2015-106376,2015-05-12,Std Class,BS-11590,85234,TEC-PH-10002726,Technology,Phones,167.968
69,CA-2017-119823,2017-04-06,1st Class,KD-16270,22153,OFF-PA-10000482,Office Supplies,Paper,75.88
70,CA-2017-106075,2017-09-18,Std Class,HM-14980,10009,OFF-BI-10004654,Office Supplies,Binders,4.616
71,CA-2018-114440,2018-09-14,2nd Class,TB-21520,49201,OFF-PA-10004675,Office Supplies,Paper,19.05
72,US-2016-134026,2016-04-26,Std Class,JE-15745,38109,FUR-CH-10000513,Furniture,Chairs,831.936
73,US-2016-134026,2016-04-26,Std Class,JE-15745,38109,FUR-FU-10003708,Furniture,Furnishings,97.04
74,US-2016-134026,2016-04-26,Std Class,JE-15745,38109,OFF-ST-10004123,Office Supplies,Storage,72.784
75,US-2018-118038,2018-09-12,1st Class,KB-16600,77041,OFF-BI-10004182,Office Supplies,Binders,1.248
76,US-2018-118038,2018-09-12,1st Class,KB-16600,77041,FUR-FU-10000260,Furniture,Furnishings,9.708
77,US-2018-118038,2018-09-12,1st Class,KB-16600,77041,OFF-ST-10000615,Office Supplies,Storage,27.24
78,US-2015-147606,2015-11-26,2nd Class,JE-15745,77070,FUR-FU-10003194,Furniture,Furnishings,19.3
79,CA-2017-127208,2017-12-06,1st Class,SC-20770,35601,OFF-AP-10002118,Office Supplies,Appliances,208.16
80,CA-2017-127208,2017-12-06,1st Class,SC-20770,35601,OFF-BI-10002309,Office Supplies,Binders,16.74
81,CA-2015-139451,2015-12-10,Std Class,DN-13690,94122,OFF-AR-10002053,Office Supplies,Art,14.9
82,CA-2015-139451,2015-12-10,Std Class,DN-13690,94122,OFF-ST-10002370,Office Supplies,Storage,21.39
83,CA-2016-149734,2016-03-09,Std Class,JC-16105,27707,OFF-EN-10000927,Office Supplies,Envelopes,200.984
84,US-2018-119662,2018-11-13,1st Class,CS-12400,60623,OFF-ST-10003656,Office Supplies,Storage,230.376
85,CA-2018-140088,2018-05-28,2nd Class,PO-18865,29203,FUR-CH-10000863,Furniture,Chairs,301.96
86,CA-2018-155558,2018-10-26,Std Class,PG-18895,55901,TEC-AC-10001998,Technology,Accessories,19.99
87,CA-2018-155558,2018-10-26,Std Class,PG-18895,55901,OFF-LA-10000134,Office Supplies,Labels,6.16
88,CA-2017-159695,2017-05-04,2nd Class,GM-14455,77095,OFF-ST-10003442,Office Supplies,Storage,158.368
89,CA-2017-109806,2017-09-17,Std Class,JS-15685,90036,OFF-AR-10004930,Office Supplies,Art,20.1
90,CA-2017-109806,2017-09-17,Std Class,JS-15685,90036,TEC-PH-10004093,Technology,Phones,73.584
91,CA-2017-109806,2017-09-17,Std Class,JS-15685,90036,OFF-PA-10000304,Office Supplies,Paper,6.48
92,CA-2016-149587,2016-01-31,2nd Class,KB-16315,55407,OFF-PA-10003177,Office Supplies,Paper,12.96
93,CA-2016-149587,2016-01-31,2nd Class,KB-16315,55407,FUR-FU-10003799,Furniture,Furnishings,53.34
94,CA-2016-149587,2016-01-31,2nd Class,KB-16315,55407,OFF-BI-10002852,Office Supplies,Binders,32.96
95,US-2018-109484,2018-06-11,Std Class,RB-19705,97206,OFF-BI-10004738,Office Supplies,Binders,5.682
96,CA-2018-161018,2018-09-11,2nd Class,PN-18775,10009,FUR-FU-10000629,Furniture,Furnishings,96.53
97,CA-2018-157833,2018-06-17,1st Class,KD-16345,94122,OFF-BI-10001721,Office Supplies,Binders,51.312
98,CA-2017-149223,2017-06-09,Std Class,ER-13855,55106,OFF-AP-10000358,Office Supplies,Appliances,77.88
99,CA-2017-158568,2017-08-29,Std Class,RB-19465,60610,OFF-PA-10003256,Office Supplies,Paper,64.624
100,CA-2017-158568,2017-08-29,Std Class,RB-19465,60610,TEC-AC-10001767,Technology,Accessories,95.976
101,CA-2017-158568,2017-08-29,Std Class,RB-19465,60610,OFF-BI-10002609,Office Supplies,Binders,1.788
102,CA-2017-129903,2017-01-12,2nd Class,GZ-14470,55901,OFF-PA-10004040,Office Supplies,Paper,23.92
103,US-2016-156867,2016-11-13,Std Class,LC-16870,80013,TEC-AC-10001552,Technology,Accessories,238.896
104,US-2016-156867,2016-11-13,Std Class,LC-16870,80013,FUR-FU-10004006,Furniture,Furnishings,102.36
105,US-2016-156867,2016-11-13,Std Class,LC-16870,80013,OFF-BI-10002794,Office Supplies,Binders,36.882
106,CA-2018-119004,2018-11-23,Std Class,JM-15250,28205,TEC-AC-10003499,Technology,Accessories,74.112
107,CA-2018-119004,2018-11-23,Std Class,JM-15250,28205,TEC-PH-10002844,Technology,Phones,27.992
108,CA-2018-119004,2018-11-23,Std Class,JM-15250,28205,OFF-AR-10000390,Office Supplies,Art,3.304
109,CA-2016-129476,2016-10-15,Std Class,PA-19060,60462,TEC-AC-10000844,Technology,Accessories,339.96
110,CA-2018-146780,2018-12-25,Std Class,CV-12805,10035,FUR-FU-10001934,Furniture,Furnishings,41.96
111,CA-2017-128867,2017-03-11,Std Class,CL-12565,50322,OFF-AR-10000380,Office Supplies,Art,75.96
112,CA-2017-128867,2017-03-11,Std Class,CL-12565,50322,OFF-BI-10003981,Office Supplies,Binders,27.24
113,CA-2015-115259,2015-08-25,2nd Class,RC-19960,43229,OFF-FA-10000621,Office Supplies,Fasteners,40.096
114,CA-2015-115259,2015-08-25,2nd Class,RC-19960,43229,OFF-EN-10002600,Office Supplies,Envelopes,4.72
115,CA-2015-115259,2015-08-25,2nd Class,RC-19960,43229,OFF-PA-10004965,Office Supplies,Paper,23.976
116,CA-2015-115259,2015-08-25,2nd Class,RC-19960,43229,OFF-EN-10002504,Office Supplies,Envelopes,130.464
117,CA-2016-110457,2016-02-03,Std Class,DK-13090,98103,FUR-TA-10001768,Furniture,Tables,787.53
118,US-2016-136476,2016-05-04,Std Class,GG-14650,37620,OFF-BI-10003650,Office Supplies,Binders,157.794
119,CA-2017-103730,2017-12-06,1st Class,SC-20725,19805,FUR-FU-10002157,Furniture,Furnishings,47.04
120,CA-2017-103730,2017-12-06,1st Class,SC-20725,19805,OFF-BI-10003910,Office Supplies,Binders,30.84
121,CA-2017-103730,2017-12-06,1st Class,SC-20725,19805,OFF-ST-10000777,Office Supplies,Storage,226.56
122,CA-2017-103730,2017-12-06,1st Class,SC-20725,19805,OFF-EN-10002500,Office Supplies,Envelopes,115.02
123,CA-2017-103730,2017-12-06,1st Class,SC-20725,19805,TEC-PH-10003875,Technology,Phones,68.04
124,US-2015-152030,2015-12-26,2nd Class,AD-10180,77041,FUR-CH-10004063,Furniture,Chairs,600.558
125,US-2015-134614,2015-09-20,Std Class,PF-19165,61701,FUR-TA-10004534,Furniture,Tables,617.7
126,US-2018-107272,2018-05-11,Std Class,TS-21610,85023,OFF-BI-10003274,Office Supplies,Binders,2.388
127,US-2018-107272,2018-05-11,Std Class,TS-21610,85023,OFF-ST-10002974,Office Supplies,Storage,243.992
128,US-2017-125969,2017-06-11,2nd Class,LS-16975,90004,FUR-CH-10001146,Furniture,Chairs,81.424
129,US-2017-125969,2017-06-11,2nd Class,LS-16975,90004,FUR-FU-10003773,Furniture,Furnishings,238.56
130,US-2018-164147,2018-02-02,1st Class,DW-13585,43229,TEC-PH-10002293,Technology,Phones,59.97
131,US-2018-164147,2018-02-02,1st Class,DW-13585,43229,OFF-PA-10002377,Office Supplies,Paper,78.304
132,US-2018-164147,2018-02-02,1st Class,DW-13585,43229,OFF-FA-10002780,Office Supplies,Fasteners,21.456
133,CA-2017-145583,2017-10-13,Std Class,LC-16885,95661,OFF-PA-10001804,Office Supplies,Paper,20.04
134,CA-2017-145583,2017-10-13,Std Class,LC-16885,95661,OFF-PA-10001736,Office Supplies,Paper,35.44
135,CA-2017-145583,2017-10-13,Std Class,LC-16885,95661,OFF-AR-10001149,Office Supplies,Art,11.52
136,CA-2017-145583,2017-10-13,Std Class,LC-16885,95661,OFF-FA-10002988,Office Supplies,Fasteners,4.02
137,CA-2017-145583,2017-10-13,Std Class,LC-16885,95661,OFF-BI-10004781,Office Supplies,Binders,76.176
138,CA-2017-145583,2017-10-13,Std Class,LC-16885,95661,OFF-SU-10001218,Office Supplies,Supplies,65.88
139,CA-2017-145583,2017-10-13,Std Class,LC-16885,95661,FUR-FU-10001706,Furniture,Furnishings,43.12
140,CA-2017-110366,2017-05-09,2nd Class,JD-15895,19140,FUR-FU-10004848,Furniture,Furnishings,82.8
141,CA-2018-106180,2018-09-18,Std Class,SH-19975,94122,OFF-AR-10000940,Office Supplies,Art,8.82
142,CA-2018-106180,2018-09-18,Std Class,SH-19975,94122,OFF-EN-10004030,Office Supplies,Envelopes,10.86
143,CA-2018-106180,2018-09-18,Std Class,SH-19975,94122,OFF-PA-10004327,Office Supplies,Paper,143.7
144,CA-2018-155376,2018-12-22,Std Class,SG-20080,64055,OFF-AP-10001058,Office Supplies,Appliances,839.43
145,CA-2016-110744,2016-07-09,Std Class,HA-14920,91104,OFF-ST-10003656,Office Supplies,Storage,671.93
146,CA-2015-110072,2015-10-22,Std Class,MG-17680,43055,FUR-FU-10000521,Furniture,Furnishings,93.888
147,CA-2017-114489,2017-05-12,Std Class,JE-16165,53132,TEC-PH-10000215,Technology,Phones,384.45
148,CA-2017-114489,2017-05-12,Std Class,JE-16165,53132,TEC-PH-10001448,Technology,Phones,149.97
149,CA-2017-114489,2017-05-12,Std Class,JE-16165,53132,FUR-CH-10000454,Furniture,Chairs,1951.84
150,CA-2017-114489,2017-05-12,Std Class,JE-16165,53132,OFF-BI-10002735,Office Supplies,Binders,171.55
151,CA-2017-158834,2017-03-13,1st Class,TW-21025,85254,OFF-AP-10000326,Office Supplies,Appliances,157.92
152,CA-2017-158834,2017-03-13,1st Class,TW-21025,85254,TEC-PH-10001254,Technology,Phones,203.184
153,CA-2016-124919,2016-05-31,1st Class,SP-20650,95123,OFF-PA-10001950,Office Supplies,Paper,58.38
154,CA-2016-124919,2016-05-31,1st Class,SP-20650,95123,OFF-PA-10002254,Office Supplies,Paper,105.52
155,CA-2016-124919,2016-05-31,1st Class,SP-20650,95123,OFF-ST-10001590,Office Supplies,Storage,80.88
156,CA-2016-118948,2016-05-28,Std Class,NK-18490,98105,OFF-AR-10001547,Office Supplies,Art,6.63
157,CA-2015-104269,2015-01-03,2nd Class,DB-13060,98115,FUR-CH-10004063,Furniture,Chairs,457.568
158,CA-2017-114104,2017-11-20,Std Class,NP-18670,73034,OFF-LA-10002475,Office Supplies,Labels,14.62
159,CA-2017-114104,2017-11-20,Std Class,NP-18670,73034,TEC-PH-10004536,Technology,Phones,944.93
160,CA-2017-162733,2017-11-05,1st Class,TT-21070,90045,OFF-PA-10002751,Office Supplies,Paper,5.98
161,CA-2016-119697,2016-12-28,2nd Class,EM-13960,19134,TEC-AC-10003657,Technology,Accessories,54.384
162,CA-2017-154508,2017-11-16,Std Class,RD-19900,88220,OFF-EN-10001990,Office Supplies,Envelopes,28.4
163,CA-2017-113817,2017-07-11,Std Class,MJ-17740,98115,OFF-BI-10004002,Office Supplies,Binders,27.68
164,CA-2015-139892,2015-08-09,Std Class,BM-11140,78207,OFF-AR-10004441,Office Supplies,Art,9.936
165,CA-2015-139892,2015-08-09,Std Class,BM-11140,78207,TEC-MA-10000822,Technology,Machines,8159.952
166,CA-2015-139892,2015-08-09,Std Class,BM-11140,78207,OFF-ST-10000991,Office Supplies,Storage,275.928
167,CA-2015-139892,2015-08-09,Std Class,BM-11140,78207,FUR-CH-10004287,Furniture,Chairs,1740.06
168,CA-2015-139892,2015-08-09,Std Class,BM-11140,78207,OFF-AR-10002656,Office Supplies,Art,32.064
169,CA-2015-139892,2015-08-09,Std Class,BM-11140,78207,OFF-AP-10002518,Office Supplies,Appliances,177.98
170,CA-2015-139892,2015-08-09,Std Class,BM-11140,78207,TEC-PH-10003931,Technology,Phones,143.976
171,CA-2015-118962,2015-05-08,Std Class,CS-12130,90004,OFF-PA-10000659,Office Supplies,Paper,20.94
172,CA-2015-118962,2015-05-08,Std Class,CS-12130,90004,OFF-PA-10001144,Office Supplies,Paper,110.96
173,CA-2015-118962,2015-05-08,Std Class,CS-12130,90004,FUR-CH-10003817,Furniture,Chairs,340.144
174,US-2015-100853,2015-09-14,Std Class,JB-15400,60623,OFF-AP-10000891,Office Supplies,Appliances,52.448
175,US-2015-100853,2015-09-14,Std Class,JB-15400,60623,OFF-LA-10003148,Office Supplies,Labels,20.16
176,US-2018-152366,2018-04-21,2nd Class,SJ-20500,77036,OFF-AP-10002684,Office Supplies,Appliances,97.264
177,US-2016-101511,2016-11-21,2nd Class,JE-15745,43055,FUR-CH-10004698,Furniture,Chairs,396.802
178,US-2016-101511,2016-11-21,2nd Class,JE-15745,43055,OFF-SU-10002189,Office Supplies,Supplies,15.88
179,CA-2016-137225,2016-12-15,Std Class,JK-15640,10009,OFF-AR-10001940,Office Supplies,Art,3.28
180,CA-2015-166191,2015-05-12,2nd Class,DK-13150,62521,OFF-ST-10003455,Office Supplies,Storage,24.816
181,CA-2015-166191,2015-05-12,2nd Class,DK-13150,62521,TEC-AC-10004659,Technology,Accessories,408.744
182,CA-2015-158274,2015-11-19,2nd Class,RM-19675,71203,TEC-PH-10003273,Technology,Phones,503.96
183,CA-2015-158274,2015-11-19,2nd Class,RM-19675,71203,TEC-PH-10004896,Technology,Phones,149.95
184,CA-2015-158274,2015-11-19,2nd Class,RM-19675,71203,TEC-AC-10002345,Technology,Accessories,29.0
185,CA-2017-105018,2017-11-28,Std Class,SK-19990,6824,OFF-BI-10001890,Office Supplies,Binders,7.16
186,CA-2015-123260,2015-08-26,Std Class,FM-14290,90032,TEC-AC-10002323,Technology,Accessories,176.8
187,CA-2017-157000,2017-07-16,Std Class,AM-10360,75051,OFF-ST-10001328,Office Supplies,Storage,37.224
188,CA-2017-157000,2017-07-16,Std Class,AM-10360,75051,OFF-PA-10001950,Office Supplies,Paper,20.016
189,CA-2016-102281,2016-12-10,1st Class,MP-17470,10035,FUR-BO-10002613,Furniture,Bookcases,899.136
190,CA-2016-102281,2016-12-10,1st Class,MP-17470,10035,TEC-PH-10001552,Technology,Phones,71.76
191,CA-2016-102281,2016-12-10,1st Class,MP-17470,10035,OFF-PA-10000061,Office Supplies,Paper,51.84
192,CA-2016-102281,2016-12-10,1st Class,MP-17470,10035,FUR-BO-10002545,Furniture,Bookcases,626.352
193,CA-2016-102281,2016-12-10,1st Class,MP-17470,10035,OFF-AR-10003514,Office Supplies,Art,19.9
194,CA-2016-131457,2016-10-31,Std Class,MZ-17515,92374,OFF-EN-10001509,Office Supplies,Envelopes,14.28
195,CA-2015-140004,2015-03-21,Std Class,CB-12025,45011,OFF-AR-10004685,Office Supplies,Art,7.408
196,CA-2015-140004,2015-03-21,Std Class,CB-12025,45011,OFF-AR-10004027,Office Supplies,Art,6.048
197,CA-2018-107720,2018-06-11,Std Class,VM-21685,7090,OFF-ST-10001414,Office Supplies,Storage,46.26
198,US-2018-124303,2018-06-07,Std Class,FH-14365,19120,OFF-BI-10000343,Office Supplies,Binders,2.946
199,US-2018-124303,2018-06-07,Std Class,FH-14365,19120,OFF-PA-10002749,Office Supplies,Paper,16.056
200,CA-2018-105074,2018-06-24,Std Class,MB-17305,44312,OFF-PA-10002666,Office Supplies,Paper,21.744
201,CA-2015-133690,2015-03-08,1st Class,BS-11755,80219,FUR-TA-10004289,Furniture,Tables,218.75
202,CA-2015-133690,2015-03-08,1st Class,BS-11755,80219,OFF-AP-10003622,Office Supplies,Appliances,2.6
203,US-2018-116701,2018-12-17,2nd Class,LC-17140,75220,OFF-AP-10003217,Office Supplies,Appliances,66.284
204,CA-2018-126382,2018-03-06,Std Class,HK-14890,37064,FUR-FU-10002960,Furniture,Furnishings,35.168
205,CA-2018-108329,2018-09-12,Std Class,LE-16810,90604,TEC-PH-10001918,Technology,Phones,444.768
206,CA-2018-135860,2018-01-12,Std Class,JH-15985,48601,OFF-ST-10000642,Office Supplies,Storage,83.92
207,CA-2018-135860,2018-01-12,Std Class,JH-15985,48601,TEC-PH-10001700,Technology,Phones,131.98
208,CA-2018-135860,2018-01-12,Std Class,JH-15985,48601,OFF-BI-10003274,Office Supplies,Binders,15.92
209,CA-2018-135860,2018-01-12,Std Class,JH-15985,48601,OFF-FA-10000134,Office Supplies,Fasteners,52.29
210,CA-2018-135860,2018-01-12,Std Class,JH-15985,48601,OFF-ST-10001522,Office Supplies,Storage,91.99
211,CA-2016-101007,2016-09-02,2nd Class,MS-17980,75220,TEC-AC-10001266,Technology,Accessories,20.8
212,CA-2016-146262,2016-02-01,Std Class,VW-21775,44256,OFF-LA-10004544,Office Supplies,Labels,23.68
213,CA-2016-146262,2016-02-01,Std Class,VW-21775,44256,FUR-BO-10004695,Furniture,Bookcases,452.45
214,CA-2016-146262,2016-02-01,Std Class,VW-21775,44256,TEC-PH-10002844,Technology,Phones,62.982
215,CA-2016-146262,2016-02-01,Std Class,VW-21775,44256,TEC-MA-10000864,Technology,Machines,1188.0
216,CA-2016-146262,2016-02-01,Std Class,VW-21775,44256,TEC-AC-10000109,Technology,Accessories,89.584
217,CA-2017-130162,2017-10-28,Std Class,JH-15910,90032,OFF-ST-10001328,Office Supplies,Storage,93.06
218,CA-2017-130162,2017-10-28,Std Class,JH-15910,90032,TEC-PH-10002563,Technology,Phones,302.376
219,CA-2016-169397,2016-12-24,1st Class,JB-15925,43017,OFF-FA-10000585,Office Supplies,Fasteners,5.584
220,CA-2016-169397,2016-12-24,1st Class,JB-15925,43017,OFF-PA-10004000,Office Supplies,Paper,22.704
221,CA-2016-169397,2016-12-24,1st Class,JB-15925,43017,OFF-BI-10002852,Office Supplies,Binders,19.776
222,CA-2016-169397,2016-12-24,1st Class,JB-15925,43017,FUR-FU-10000087,Furniture,Furnishings,72.704
223,CA-2016-169397,2016-12-24,1st Class,JB-15925,43017,TEC-MA-10001148,Technology,Machines,479.988
224,CA-2016-169397,2016-12-24,1st Class,JB-15925,43017,OFF-AR-10001958,Office Supplies,Art,27.168
225,CA-2016-163055,2016-09-08,Std Class,DS-13180,48227,OFF-AR-10001026,Office Supplies,Art,2.2
226,CA-2016-163055,2016-09-08,Std Class,DS-13180,48227,FUR-TA-10003748,Furniture,Tables,622.45
227,CA-2016-163055,2016-09-08,Std Class,DS-13180,48227,OFF-ST-10002485,Office Supplies,Storage,21.98
228,US-2016-145436,2016-02-28,Std Class,VD-21670,38401,FUR-CH-10004860,Furniture,Chairs,161.568
229,US-2016-145436,2016-02-28,Std Class,VD-21670,38401,FUR-CH-10004477,Furniture,Chairs,389.696
230,US-2015-156216,2015-09-13,Std Class,EA-14035,28205,OFF-BI-10001679,Office Supplies,Binders,18.648
231,US-2018-100930,2018-07-04,Std Class,CS-12400,33614,FUR-TA-10001705,Furniture,Tables,233.86
232,US-2018-100930,2018-07-04,Std Class,CS-12400,33614,FUR-TA-10003473,Furniture,Tables,620.6145
233,US-2018-100930,2018-07-04,Std Class,CS-12400,33614,OFF-BI-10001679,Office Supplies,Binders,5.328
234,US-2018-100930,2018-07-04,Std Class,CS-12400,33614,FUR-FU-10004017,Furniture,Furnishings,258.072
235,US-2018-100930,2018-07-04,Std Class,CS-12400,33614,TEC-AC-10003832,Technology,Accessories,617.976
236,CA-2018-160514,2018-12-11,Std Class,DB-13120,95051,OFF-PA-10002479,Office Supplies,Paper,10.56
237,CA-2017-157749,2017-04-06,2nd Class,KL-16645,60610,OFF-PA-10003349,Office Supplies,Paper,25.92
238,CA-2017-157749,2017-04-06,2nd Class,KL-16645,60610,FUR-FU-10000576,Furniture,Furnishings,419.68
239,CA-2017-157749,2017-04-06,2nd Class,KL-16645,60610,FUR-FU-10004351,Furniture,Furnishings,11.688
240,CA-2017-157749,2017-04-06,2nd Class,KL-16645,60610,TEC-PH-10000011,Technology,Phones,31.984
